title,fulltext_url,trove_url,trove_id,nla_digitised,issues,issues_with_text,directory
Colonial literary journal and weekly miscellany of useful information,https://nla.gov.au/nla.obj-1388274688,https://trove.nla.gov.au/work/10934438,nla.obj-1388274688,True,41,41,colonial-literary-journal-and-weekly-miscellany-of-nla.obj-1388274688
The Bulletin with newsweek,https://nla.gov.au/nla.obj-1567115091,https://trove.nla.gov.au/work/12003834,nla.obj-1567115091,True,25,25,the-bulletin-with-newsweek-nla.obj-1567115091
"Building, lighting and engineering",http://nla.gov.au/nla.obj-319042425,https://trove.nla.gov.au/work/13396647,nla.obj-319042425,True,34,34,building-lighting-and-engineering-nla.obj-319042425
The Sydney once a week magazine,http://nla.gov.au/nla.obj-760335335,https://trove.nla.gov.au/work/13572556,nla.obj-760335335,True,24,24,the-sydney-once-a-week-magazine-nla.obj-760335335
SGSEG newsletter / Geological Society of Australia,http://nla.gov.au/nla.obj-181775627,https://trove.nla.gov.au/work/17413869,nla.obj-181775627,True,1,1,sgseg-newsletter-geological-society-of-australia-nla.obj-181775627
Report / Federal Airports Corporation,https://nla.gov.au/nla.obj-1913607276,https://trove.nla.gov.au/work/18239825,nla.obj-1913607276,True,1,1,report-federal-airports-corporation-nla.obj-1913607276
Minutes of several conversations between the ministers of the Australasian Wesleyan Methodist Church at their ... annual conference,http://nla.gov.au/nla.obj-381363069,https://trove.nla.gov.au/work/18829983,nla.obj-381363069,False,2,2,minutes-of-several-conversations-between-the-minis-nla.obj-381363069
A Careta,http://nla.gov.au/nla.obj-320275568,https://trove.nla.gov.au/work/18930041,nla.obj-320275568,True,2,2,a-careta-nla.obj-320275568
Report of the New South Wales Auxiliary Bible Society,http://nla.gov.au/nla.obj-435388219,https://trove.nla.gov.au/work/19006152,nla.obj-435388219,False,1,1,report-of-the-new-south-wales-auxiliary-bible-soci-nla.obj-435388219
Royal Australian Air Force,http://nla.gov.au/nla.obj-6938759,https://trove.nla.gov.au/work/21772386,nla.obj-6938759,True,1,1,royal-australian-air-force-nla.obj-6938759
Barjai : a meeting place for youth,http://nla.gov.au/nla.obj-319042505,https://trove.nla.gov.au/work/21807804,nla.obj-319042505,True,7,7,barjai-a-meeting-place-for-youth-nla.obj-319042505
Report of the Senate Select Committee on Superannuation / Parliament of the Commonwealth of Australia,https://nla.gov.au/nla.obj-1333655593,https://trove.nla.gov.au/work/22095680,nla.obj-1333655593,False,28,28,report-of-the-senate-select-committee-on-superannu-nla.obj-1333655593
Angry Penguins broadsheet,http://nla.gov.au/nla.obj-320790312,https://trove.nla.gov.au/work/22285457,nla.obj-320790312,True,10,10,angry-penguins-broadsheet-nla.obj-320790312
The Log of the lunatic ship,http://nla.gov.au/nla.obj-262805405,https://trove.nla.gov.au/work/22424922,nla.obj-262805405,True,1,1,the-log-of-the-lunatic-ship-nla.obj-262805405
Middlesex Yeomanry magazine,http://nla.gov.au/nla.obj-18408295,https://trove.nla.gov.au/work/22426536,nla.obj-18408295,True,5,5,middlesex-yeomanry-magazine-nla.obj-18408295
The Horsforth and district almanack for ..,http://nla.gov.au/nla.obj-427728952,https://trove.nla.gov.au/work/22488253,nla.obj-427728952,True,1,1,the-horsforth-and-district-almanack-for-nla.obj-427728952
The Twenty-Second's echo : random shots from the red and purple diamonds,http://nla.gov.au/nla.obj-6375240,https://trove.nla.gov.au/work/22534195,nla.obj-6375240,True,1,1,the-twenty-second-s-echo-random-shots-from-the-red-nla.obj-6375240
Russia and us : official journal of the N.S.W. Aid Russia Committee,http://nla.gov.au/nla.obj-410989349,https://trove.nla.gov.au/work/23168897,nla.obj-410989349,False,1,1,russia-and-us-official-journal-of-the-n-s-w-aid-ru-nla.obj-410989349
Elector (Online),http://nla.gov.au/nla.obj-767555504,https://trove.nla.gov.au/work/234644168,nla.obj-767555504,False,1,1,elector-online-nla.obj-767555504
"Sporting times (Sydney, N.S.W. : 1848 : Online)",http://nla.gov.au/nla.obj-767556888,https://trove.nla.gov.au/work/234959956,nla.obj-767556888,False,7,7,sporting-times-sydney-n-s-w-1848-online-nla.obj-767556888
Under lock & key,http://nla.gov.au/nla.obj-715301081,https://trove.nla.gov.au/work/23807285,nla.obj-715301081,True,1,1,under-lock-key-nla.obj-715301081
Western Australian almanack (Arthur Shenton),http://nla.gov.au/nla.obj-756570119,https://trove.nla.gov.au/work/23968958,nla.obj-756570119,True,1,1,western-australian-almanack-arthur-shenton-nla.obj-756570119
The 23rd : the voice of the battalion,http://nla.gov.au/nla.obj-10414986,https://trove.nla.gov.au/work/31637350,nla.obj-10414986,True,30,30,the-23rd-the-voice-of-the-battalion-nla.obj-10414986
14th Company magazine,http://nla.gov.au/nla.obj-15956697,https://trove.nla.gov.au/work/31653833,nla.obj-15956697,True,1,1,14th-company-magazine-nla.obj-15956697
"The Anzac records gazette / produced by the New Zealand and Australian sections of the 3rd Echelon, M.E.F",http://nla.gov.au/nla.obj-35702476,https://trove.nla.gov.au/work/31662194,nla.obj-35702476,True,4,4,the-anzac-records-gazette-produced-by-the-new-zeal-nla.obj-35702476
Jahrbuch uber die Evangelisch-Lutherische Mission in Neuguinea,http://nla.gov.au/nla.obj-291668456,https://trove.nla.gov.au/work/5527823,nla.obj-291668456,True,1,1,jahrbuch-uber-die-evangelisch-lutherische-mission--nla.obj-291668456
Official strike bulletin,https://nla.gov.au/nla.obj-2397863197,https://trove.nla.gov.au/work/5536156,nla.obj-2397863197,True,54,54,official-strike-bulletin-nla.obj-2397863197
